APIS (Demisto Class),,Common Server Python,,XSOAR 8 API ,,,XSOAR 6 API,,
,,replace_in_keys,,,,,,,
,,replace_spaces_in_credential,,,,,,,
,,response_to_context,,,,,,,
,,return_error,,,,,,,
,,return_outputs,,,,,,,
,,return_results,,,,,,,
,,return_warning,,,,,,,
,,safe_load_json,,,,,,,
,,scoreToReputation,,,,,,,
,,sectionsToMarkdown,,,,,,,
,,send_data_to_xsiam,,,,,,,
,,send_events_to_xsiam,,,,,,,
,,set_feed_last_run,,,,,,,
,,set_integration_context,,,,,,,
,,set_last_mirror_run,,,,,,,
,,set_to_integration_context_with_retries,,,,,,,
,,shortCrowdStrike,,,,,,,
,,shortDomain,,,,,,,
,,shortFile,,,,,,,
,,shortIp,,,,,,,
,,shortUrl,,,,,,,
,,shorten_string_for_printing,,,,,,,
,,signal_handler_profiling_dump,,,,,,,
,,skip_cert_verification,,,,,,,
,,skip_proxy,,,,,,,
,,snakify,,,,,,,
,,split_data_to_chunks,,,,,,,
,,stringEscape,,,,,,,
,,stringEscapeMD,,,,,,,
,,stringUnEscape,,,,,,,
,,string_to_context_key,,,,,,,
,,string_to_table_header,,,,,,,
,,support_multithreading,,,,,,,
,,tableToMarkdown,,,,,,,
,,timestamp_to_datestring,,,,,,,
,,underscoreToCamelCase,,,,,,,
,,update_integration_context,,,,,,,
,,update_last_run_object,,,,,,,
,,url_to_clickable_markdown,,,,,,,
,,urljoin,,,,,,,
,,vtCountPositives,,,,,,,
,,xml2json,,,,,,,
,,xsiam_api_call_with_retries,,,,,,,
